image,c1,c1,c1,c2,c2,c2,c3,c3,c3,c4,c4,c4,c5,c5,c5,c6,c6,c6,c7,c7,c7,c8,c8,c8
name,x,y,dist,x,y,dist,x,y,dist,x,y,dist,x,y,dist,x,y,dist,x,y,dist,x,y,dist
2014_12_14.png,291.5,237.0,8.0,313.5,237.0,8.104936767180853,230.0,309.5,0.5830951894845301,251.5,304.9,6.789698078707183,359.9,322.0,27.1,356.9,338.5,34.08826777646526,366.9,414.4,168.29236465151945,366.9,414.4,188.32145390262895
2018_05_08.png,,,,,,,,,,,,,,,,,,,,,,,,
2018_02_08.png,291.5,236.0,7.0,311.5,236.0,7.738862965578342,229.5,315.0,5.2,252.9,306.5,4.666904755831213,381.5,314.9,8.981091247727083,351.9,356.4,35.151386885868384,395.9,421.4,142.79047587286766,395.9,421.4,161.3591336119527
2018_03_28.png,291.5,236.0,7.0,314.5,237.0,8.005623023850173,229.5,313.0,3.2,252.9,306.5,4.666904755831213,360.9,321.5,26.104788832702706,353.9,357.4,33.226796414941965,359.9,326.5,175.3408395097959,384.9,474.4,191.14227685156416
2018_07_18.png,293.4,235.0,6.293647591023825,314.5,237.0,8.005623023850173,227.5,313.0,3.7735924528226414,253.5,306.9,3.9623225512317903,360.9,320.5,26.143067914841215,353.9,356.4,33.15448687583628,353.9,361.5,175.8567883250459,383.9,473.4,191.5431283027402
2018_07_02.png,306.0,221.5,16.32482771731451,309.5,221.9,8.860022573334675,229.5,297.9,11.9,237.9,297.5,22.04948979001555,345.5,370.0,63.452738317585634,345.9,370.4,44.06835599384211,345.9,370.5,183.6006808266244,345.9,370.5,206.94820608065197
2018_12_09.png,284.9,225.5,7.470609078247904,317.0,229.4,2.23606797749979,230.4,311.0,1.5,253.9,307.5,3.2526911934581184,391.0,323.4,4.237924020083418,387.0,354.5,0.0,400.9,410.4,134.5002602227966,400.9,410.4,154.14593734510163
2018_08_03.png,294.0,230.4,2.8653097563788803,311.5,236.0,7.738862965578342,229.5,301.9,7.9,260.2,305.7,5.728001396647874,364.9,308.5,25.89710408520613,352.9,354.5,34.1,364.9,308.5,176.06649312120692,383.9,479.4,194.46225854905623
2019_01_26.png,291.5,236.0,7.0,311.5,236.0,7.738862965578342,229.5,313.0,3.2,253.9,307.5,3.2526911934581184,360.9,322.0,26.1,353.9,354.5,33.1,384.9,411.4,150.13767015642676,384.9,411.4,170.07342531977181
2019_05_27.png,149.5,1153.0,934.8475811596242,149.5,1153.0,938.6693187699277,149.5,1153.0,846.9865642381819,149.5,1153.0,849.9241907370327,149.5,1153.0,864.2726710940245,149.5,1153.0,833.0717256035041,149.5,1153.0,869.4388995208346,149.5,1153.0,869.528176656743
2018_09_20.png,291.5,236.0,7.0,311.5,236.0,7.738862965578342,229.5,313.0,3.2,253.5,306.9,3.9623225512317903,360.9,319.5,26.21945842308723,362.9,348.5,24.835659846277487,362.9,348.5,168.1124920997842,386.9,477.4,190.8647950775627
2019_05_18.png,287.5,233.0,5.656854249492381,312.5,236.0,7.368174807915459,230.4,312.0,2.3769728648009427,253.5,314.0,4.992995093127972,379.9,322.4,7.111258679024411,379.5,322.9,32.477838598034815,400.9,411.4,134.79658749389765,400.9,411.4,154.33006835999262
2019_02_27.png,,,,,,,,,,,,,,,,,,,,,,,,
2019_05_11.png,,,,,,,,,,,,,,,,,,,,,,,,
2019_03_31.png,293.4,235.0,6.293647591023825,312.5,236.0,7.368174807915459,228.9,309.5,0.6708203932499369,245.5,321.0,15.489673979784081,365.9,316.5,21.805045287731,356.9,350.5,30.364617567161947,400.9,420.4,137.76182344902378,401.9,423.4,156.05502234788858
2018_10_15.png,,,,,,,,,,,,,,,,,,,,,,,,
2019_01_10.png,291.5,236.0,7.0,314.5,237.0,8.005623023850173,229.5,315.0,5.2,253.9,307.5,3.2526911934581184,373.9,315.5,14.623952953972466,364.9,334.5,29.806207407182818,373.9,315.5,165.20172517259013,380.9,463.4,189.7139162001565
2019_06_03.png,290.5,211.9,17.12921480979207,305.5,208.9,22.147234590350102,245.4,234.9,76.56905380112778,245.5,234.9,75.66042558696059,332.5,202.9,130.97732628207066,332.5,202.9,161.09875853028785,340.9,194.5,258.3064265557479,340.9,194.5,283.05222133026973
2019_03_15.png,157.9,170.5,145.84652892681402,157.9,170.5,167.45106747942816,153.5,173.9,155.70745004655365,153.5,173.9,170.34112832783515,157.9,170.5,274.6617192111052,157.9,170.5,293.8414708648185,157.9,170.5,422.24022783245084,157.9,170.5,447.9432553348694
2018_11_16.png,,,,,,,,,,,,,,,,,,,,,,,,
2019_06_28.png,,,,,,,,,,,,,,,,,,,,,,,,
2019_04_25.png,,,,,,,,,,,,,,,,,,,,,,,,
2018_05_31.png,288.5,225.9,4.313930922024598,289.9,224.5,25.30335946075145,227.9,310.4,1.708800749063506,254.9,308.5,1.8384776310850235,387.4,377.0,55.001454526221394,387.4,377.0,22.503555274667157,396.9,377.4,132.75435962709474,396.9,377.5,155.68031346319933
2018_11_23.png,291.5,236.0,7.0,314.8,229.0,0.0,230.4,313.0,3.324154027718932,252.9,308.5,3.5468295701936396,382.9,318.5,5.390732788777422,362.9,343.5,26.491696812397652,391.9,306.5,151.96713460482172,391.9,306.5,177.67487160541302
2019_12_12.png,284.9,226.5,7.057619995437555,314.8,226.9,2.1,236.4,274.9,35.57555340398797,237.5,274.9,39.594191493197584,381.5,302.9,19.876116320851015,381.5,302.9,51.8922922985678,389.9,290.5,161.1471687619736,389.9,290.5,186.8228037472942
2020_06_05.png,293.4,235.0,6.293647591023825,312.5,236.0,7.368174807915459,232.0,311.4,2.9681644159311658,253.5,306.9,3.9623225512317903,359.9,320.5,27.14148116813082,364.9,352.5,22.19031320193566,399.9,397.4,132.2615590411666,399.9,397.4,153.32569908531315
2019_10_18.png,,,,,,,,,,,,,,,,,,,,,,,,
2020_01_13.png,294.4,236.0,7.576938695805846,314.8,237.0,8.0,229.5,314.0,4.2,256.2,310.0,0.2,362.9,313.5,25.55503864211518,358.9,346.5,29.21660486778024,358.9,346.5,172.35025384373532,385.9,474.4,190.2660505712987
2020_04_27.png,167.5,1045.0,825.3677968033402,167.5,1045.0,829.1883320452598,167.5,1045.0,737.809623141363,167.5,1045.0,740.5313835348236,167.5,1045.0,755.5853691013345,167.5,1045.0,724.5484800894968,167.5,1045.0,765.0620889836327,167.5,1045.0,766.2449021037595
2019_11_26.png,291.5,236.0,7.0,312.5,236.0,7.368174807915459,231.4,313.0,3.721558813185679,252.9,306.5,4.666904755831213,360.9,317.5,26.485090145211892,354.9,344.5,33.62157045707413,390.9,287.5,161.80917773723468,390.9,287.5,187.4554880498301
2020_04_02.png,291.5,235.0,6.0,312.5,236.0,7.368174807915459,229.5,313.0,3.2,252.9,308.5,3.5468295701936396,359.9,321.5,27.104612153653854,352.9,357.4,34.22309161954834,382.9,460.4,171.70882330270626,382.9,460.4,186.63485740879167
2020_03_10.png,,,,,,,,,,,,,,,,,,,,,,,,
2020_10_04.png,,,,,,,,,,,,,,,,,,,,,,,,
2020_08_24.png,291.5,235.0,6.0,313.5,237.0,8.104936767180853,229.5,309.8,0.0,256.4,310.0,0.282842712474619,363.9,321.5,23.105410621756974,361.9,347.5,26.057820323273393,362.9,343.5,168.85440473970468,388.9,481.4,191.17052597092473
2020_04_18.png,293.4,235.0,6.293647591023825,311.5,236.0,7.738862965578342,229.5,313.0,3.2,253.9,307.5,3.2526911934581184,360.9,315.5,26.897211751406502,353.9,358.4,33.32896638061253,353.9,359.5,175.9761631585369,383.9,472.4,191.0705890502251
2020_07_23.png,286.9,230.4,4.808326112068523,313.9,229.4,0.9848857801796104,230.0,309.8,0.5,259.0,307.5,3.6235341863986874,386.5,323.0,1.118033988749895,391.4,338.9,16.208639671483848,391.9,338.5,141.38603184190438,391.9,338.5,166.5183473374631
2020_02_14.png,293.4,235.0,6.293647591023825,319.1,233.3,6.081118318204309,231.0,311.4,2.193171219946131,257.4,311.0,1.6970562748477138,359.9,322.0,27.1,352.9,354.5,34.1,384.9,275.5,173.28995931674748,386.9,477.4,190.8647950775627
2020_01_29.png,291.5,236.0,7.0,314.5,237.0,8.005623023850173,230.0,310.4,0.7810249675906654,255.9,309.5,0.42426406871192845,360.9,316.5,26.673207531153803,353.9,361.4,33.811536492741645,353.9,364.5,175.72026064173704,389.9,482.4,190.8370247095673
2020_03_17.png,177.9,162.5,131.63286063897573,177.9,162.5,152.1967805178546,177.5,162.9,155.8319928641099,177.5,162.9,166.65323279192637,177.9,162.5,262.98870698187784,177.9,162.5,283.8781604843881,349.5,701.0,375.89892258425004,349.5,701.0,377.69200415153085
2020_12_30.png,291.5,236.0,7.0,311.5,236.0,7.738862965578342,229.5,313.0,3.2,254.5,307.9,2.5495097567963922,359.9,322.0,27.1,353.9,358.4,33.32896638061253,359.9,325.5,175.59729496777564,385.9,475.4,190.75106814904078
2020_11_12.png,293.4,235.0,6.293647591023825,314.5,227.9,1.1401754250991378,229.5,313.0,3.2,256.2,309.8,0.0,368.9,328.4,19.198176996788,390.4,360.0,6.466065264130885,395.9,371.0,133.6,399.9,417.4,156.53999488948503
2020_10_27.png,291.5,236.0,7.0,311.5,236.0,7.738862965578342,223.9,314.4,7.247068372797375,253.9,307.5,3.2526911934581184,363.9,317.5,23.534230388946224,386.5,375.0,20.50609665440988,397.9,383.4,132.18290358438946,397.9,383.4,154.60261964145369
2021_01_31.png,295.0,225.5,4.949747468305833,322.0,229.0,7.2,225.9,313.4,5.091168824543142,253.9,307.5,3.2526911934581184,391.4,337.0,15.632018423735307,386.9,354.5,0.1,393.9,355.5,136.48300260471996,393.9,355.5,160.8818199797603
2021_06_01.png,270.5,929.0,700.3149291568759,270.5,929.0,701.4003778156953,259.4,929.0,619.9214869642767,259.4,929.0,619.2082686786409,270.5,929.0,618.0786762217251,270.5,929.0,586.1932275282613,270.5,929.0,615.1788357867979,270.5,929.0,614.9684951280025
2020_10_11.png,326.4,189.9,52.41011352782972,326.4,189.9,40.78443330487749,233.4,389.0,79.29596458836981,233.5,389.0,82.38889488274496,393.0,322.4,6.013318551349164,388.0,354.5,1.0,389.9,371.0,139.6,389.9,382.5,162.6
2021_04_05.png,313.4,254.0,33.23567360532956,315.4,254.0,25.00719896349849,231.4,318.0,8.417244204607586,257.4,314.0,4.368065933568311,359.9,320.5,27.14148116813082,351.9,354.5,35.1,357.9,329.5,176.54690594853255,387.9,480.4,191.51388983569834
2021_04_14.png,,,,,,,,,,,,,,,,,,,,,,,,
2020_12_23.png,,,,,,,,,,,,,,,,,,,,,,,,
2021_03_04.png,294.4,235.0,6.664082832618455,314.5,237.0,8.005623023850173,229.5,317.0,7.2,254.5,307.9,2.5495097567963922,361.9,314.5,26.19656466027559,353.9,357.4,33.226796414941965,353.9,358.5,176.0443410053274,385.9,475.4,190.75106814904078
2020_12_14.png,291.5,236.0,7.0,314.5,237.0,8.005623023850173,233.0,311.4,3.8483762809787714,253.9,307.5,3.2526911934581184,363.9,323.4,23.142385356743155,365.9,348.5,21.936499264923746,365.9,348.5,165.13997093375062,388.9,475.4,188.13657273374574
2020_12_07.png,,,,,,,,,,,,,,,,,,,,,,,,
