ds,water_area_km2,Rainfall,Average_Temperature,Max_Temperature,Average_Humidity,Max_Humidity,Average_Wind_Speed,Max_Wind_Speed,mean_ndwi,month,day_of_year,month_sin,month_cos,day_sin,day_cos,lag1,lag3,lag7,lag14,rolling_avg_7,rolling_std_7,expanding_mean,month_year,monthly_mean,monthly_max,y
2018-05-11,9.66269044059388,12.9,27.3375,29.8,85.20833333333333,95,11.204166666666666,15.7,-0.3870539934283585,5,131,0.49999999999999994,-0.8660254037844387,0.7748840413670407,-0.6321034111873487,7.404431160935345,8.830790268517827,9.1654438110105,9.052354465646063,8.658426920526276,0.717417031997282,9.082187980857515,2018-05,9.66269044059388,9.66269044059388,2.26827212400068
2018-07-05,8.376094273404949,4.0,27.3125,28.7,83.20833333333333,90,18.8125,24.5,-0.2902042830403166,7,186,-0.4999999999999998,-0.8660254037844388,-0.060213277365792774,-0.9981855344718586,9.66269044059388,8.420242457068827,9.239054749730483,7.881802372511921,8.53514685247977,0.673834847241273,9.058651523942432,2018-07,8.376094273404949,8.376094273404949,2.125381729880832
2018-09-08,9.287708901808791,0.0,26.825,29.0,80.5,90,15.929166666666664,19.9,-0.3432691162601656,9,251,-1.0,-1.8369701987210297e-16,-0.9242907221930934,-0.3816892202666586,8.376094273404949,7.404431160935345,8.3703732419436,10.202282166021606,8.666194803889082,0.7237984001687613,9.06604047161554,2018-09,9.537229951325417,9.786751000842042,2.2286919036599433
2018-09-13,9.786751000842042,0.3,27.412500000000005,29.8,77.95833333333333,87,14.866666666666667,19.1,-0.4037392808653458,9,256,-1.0,-1.8369701987210297e-16,-0.9536809966304455,-0.300819807635668,9.287708901808791,9.66269044059388,8.681406124893963,9.381164672792671,8.824101214738809,0.839064807653142,9.088562675653867,2018-09,9.537229951325417,9.786751000842042,2.2810295333151185
2018-10-18,10.89280850758822,0.9,26.729166666666668,29.2,85.04166666666667,95,7.445833333333333,10.6,-0.3566430014099623,10,291,-0.8660254037844386,0.5000000000000001,-0.9562348265919058,0.2926003356333479,9.786751000842042,8.376094273404949,8.830790268517827,9.560334183726347,9.118675248891721,1.1471897981240995,9.143236791773091,2018-10,10.89280850758822,10.89280850758822,2.38810280246313
2018-11-17,14.14045770695562,2.4,26.133333333333336,29.3,87.29166666666667,96,6.383333333333333,12.3,-0.158417388595238,11,321,-0.5000000000000004,0.8660254037844384,-0.6870527672236675,0.726607524768565,10.89280850758822,9.287708901808791,8.420242457068827,9.91124223154512,9.935848856018408,2.158407914785565,9.290213877513752,2018-11,13.031732121704586,14.14045770695562,2.64904003030913
2018-11-22,11.92300653645355,1.6,26.54583333333333,29.7,83.54166666666667,94,5.400000000000001,9.7,-0.3631877326094985,11,326,-0.5000000000000004,0.8660254037844384,-0.622046748440868,0.7829801036770625,14.14045770695562,9.786751000842042,7.404431160935345,10.460755267385684,10.581359623949579,1.939771438382237,9.365436524912033,2018-11,13.031732121704586,14.14045770695562,2.478469856884781
2018-12-02,12.012617251455266,0.0,26.52500000000001,31.4,74.58333333333333,90,12.841666666666669,16.9,-0.4928730694622873,12,336,-2.4492935982947064e-16,1.0,-0.4787338401157883,0.8779600847008883,11.92300653645355,10.89280850758822,9.66269044059388,9.1654438110105,10.917063454072634,1.9575471597517018,9.438969322871566,2018-12,10.210811753384936,12.012617251455266,2.485957535868352
2018-12-17,9.226035923243142,0.0,25.125,29.3,79.83333333333333,95,7.233333333333334,11.9,-0.4673612427857107,12,351,-2.4492935982947064e-16,1.0,-0.23867276600594997,0.9711000518829505,12.012617251455266,14.14045770695562,8.376094273404949,9.239054749730483,11.038483689763806,1.7931255260663765,9.433214366124853,2018-12,10.210811753384936,12.012617251455266,2.2220294799083544
2018-12-27,9.3937820854564,0.4,26.154166666666665,29.9,86.66666666666667,97,8.554166666666667,11.8,-0.3382166336535817,12,361,-2.4492935982947064e-16,1.0,-0.06880242680232064,0.9976303053065857,9.226035923243142,11.92300653645355,9.287708901808791,8.3703732419436,11.053637001713463,1.776232837703438,9.432176674528314,2018-12,10.210811753384936,12.012617251455266,2.240047991195296
